STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,Autauga County,1,1,6745,"Autauga County, Alabama"
Alabama,1,Autauga County,1,2,7829,"Autauga County, Alabama"
Alabama,1,Autauga County,1,3,3937,"Autauga County, Alabama"
Alabama,1,Autauga County,1,4,1418,"Autauga County, Alabama"
Alabama,1,Autauga County,1,5,527,"Autauga County, Alabama"
Alabama,1,Baldwin County,3,1,26040,"Baldwin County, Alabama"
Alabama,1,Baldwin County,3,2,34844,"Baldwin County, Alabama"
Alabama,1,Baldwin County,3,3,12503,"Baldwin County, Alabama"
Alabama,1,Baldwin County,3,4,3628,"Baldwin County, Alabama"
Alabama,1,Baldwin County,3,5,1259,"Baldwin County, Alabama"
Alabama,1,Barbour County,5,1,3426,"Barbour County, Alabama"
Alabama,1,Barbour County,5,2,3017,"Barbour County, Alabama"
Alabama,1,Barbour County,5,3,1336,"Barbour County, Alabama"
Alabama,1,Barbour County,5,4,447,"Barbour County, Alabama"
Alabama,1,Barbour County,5,5,169,"Barbour County, Alabama"
Alabama,1,Bibb County,7,1,2121,"Bibb County, Alabama"
Alabama,1,Bibb County,7,2,2570,"Bibb County, Alabama"
Alabama,1,Bibb County,7,3,1051,"Bibb County, Alabama"
Alabama,1,Bibb County,7,4,558,"Bibb County, Alabama"
Alabama,1,Bibb County,7,5,166,"Bibb County, Alabama"
Alabama,1,Blount County,9,1,5429,"Blount County, Alabama"
Alabama,1,Blount County,9,2,7346,"Blount County, Alabama"
Alabama,1,Blount County,9,3,4413,"Blount County, Alabama"
Alabama,1,Blount County,9,4,1750,"Blount County, Alabama"
Alabama,1,Blount County,9,5,1049,"Blount County, Alabama"
Alabama,1,Bullock County,11,1,1077,"Bullock County, Alabama"
Alabama,1,Bullock County,11,2,1101,"Bullock County, Alabama"
Alabama,1,Bullock County,11,3,496,"Bullock County, Alabama"
Alabama,1,Bullock County,11,4,374,"Bullock County, Alabama"
Alabama,1,Bullock County,11,5,96,"Bullock County, Alabama"
Alabama,1,Butler County,13,1,2133,"Butler County, Alabama"
Alabama,1,Butler County,13,2,2157,"Butler County, Alabama"
Alabama,1,Butler County,13,3,1171,"Butler County, Alabama"
Alabama,1,Butler County,13,4,420,"Butler County, Alabama"
Alabama,1,Butler County,13,5,137,"Butler County, Alabama"
Alabama,1,Calhoun County,15,1,13546,"Calhoun County, Alabama"
Alabama,1,Calhoun County,15,2,16817,"Calhoun County, Alabama"
Alabama,1,Calhoun County,15,3,7497,"Calhoun County, Alabama"
Alabama,1,Calhoun County,15,4,2493,"Calhoun County, Alabama"
Alabama,1,Calhoun County,15,5,1593,"Calhoun County, Alabama"
Alabama,1,Chambers County,17,1,4210,"Chambers County, Alabama"
Alabama,1,Chambers County,17,2,4602,"Chambers County, Alabama"
Alabama,1,Chambers County,17,3,2451,"Chambers County, Alabama"
Alabama,1,Chambers County,17,4,792,"Chambers County, Alabama"
Alabama,1,Chambers County,17,5,413,"Chambers County, Alabama"
Alabama,1,Cherokee County,19,1,2879,"Cherokee County, Alabama"
Alabama,1,Cherokee County,19,2,4072,"Cherokee County, Alabama"
Alabama,1,Cherokee County,19,3,1801,"Cherokee County, Alabama"
Alabama,1,Cherokee County,19,4,1008,"Cherokee County, Alabama"
Alabama,1,Cherokee County,19,5,497,"Cherokee County, Alabama"
Alabama,1,Chilton County,21,1,4645,"Chilton County, Alabama"
Alabama,1,Chilton County,21,2,6814,"Chilton County, Alabama"
Alabama,1,Chilton County,21,3,3096,"Chilton County, Alabama"
Alabama,1,Chilton County,21,4,1069,"Chilton County, Alabama"
Alabama,1,Chilton County,21,5,465,"Chilton County, Alabama"
Alabama,1,Choctaw County,23,1,1544,"Choctaw County, Alabama"
Alabama,1,Choctaw County,23,2,1722,"Choctaw County, Alabama"
Alabama,1,Choctaw County,23,3,852,"Choctaw County, Alabama"
Alabama,1,Choctaw County,23,4,422,"Choctaw County, Alabama"
Alabama,1,Choctaw County,23,5,271,"Choctaw County, Alabama"
Alabama,1,Clarke County,25,1,2736,"Clarke County, Alabama"
Alabama,1,Clarke County,25,2,3055,"Clarke County, Alabama"
Alabama,1,Clarke County,25,3,1831,"Clarke County, Alabama"
Alabama,1,Clarke County,25,4,400,"Clarke County, Alabama"
Alabama,1,Clarke County,25,5,334,"Clarke County, Alabama"
Alabama,1,Clay County,27,1,1449,"Clay County, Alabama"
Alabama,1,Clay County,27,2,1720,"Clay County, Alabama"
Alabama,1,Clay County,27,3,1062,"Clay County, Alabama"
Alabama,1,Clay County,27,4,455,"Clay County, Alabama"
Alabama,1,Clay County,27,5,263,"Clay County, Alabama"
Alabama,1,Cleburne County,29,1,1460,"Cleburne County, Alabama"
Alabama,1,Cleburne County,29,2,2061,"Cleburne County, Alabama"
Alabama,1,Cleburne County,29,3,1149,"Cleburne County, Alabama"
Alabama,1,Cleburne County,29,4,539,"Cleburne County, Alabama"
Alabama,1,Cleburne County,29,5,189,"Cleburne County, Alabama"
Alabama,1,Coffee County,31,1,5788,"Coffee County, Alabama"
